origin,destination,region,route_exposure,cluster,month,horizon,current_rate_usd_feu,forecast_rate_usd_feu,pct_change,regional_pct_change,lane_premium_pct_change,seasonal_pct_change,low_rate_usd_feu,high_rate_usd_feu
ICD Tihi,Gioia Tauro,Europe (Mediterranean),suez,2,2026-08,1,2833.0,2942.0,3.8,3.9,-0.0,0.0,2321.0,3247.0
ICD Tihi,Ambarli (Istanbul),Europe (Mediterranean),suez,2,2026-08,1,2652.0,2757.0,4.0,3.9,0.1,0.0,2156.0,3053.0
ICD Tihi,Rotterdam,Europe (North),suez,2,2026-08,1,3305.0,3431.0,3.8,3.9,-0.0,0.0,2710.0,3787.0
ICD Tihi,Hamburg,Europe (North),suez,2,2026-08,1,3580.0,3720.0,3.9,3.9,0.0,0.0,2921.0,4114.0
ICD Tihi,Antwerp,Europe (North),suez,2,2026-08,1,3160.0,3289.0,4.1,3.9,0.2,0.0,2551.0,3653.0
ICD Tihi,Felixstowe,Europe (North),suez,2,2026-08,1,3257.0,3384.0,3.9,3.9,0.0,0.0,2659.0,3741.0
ICD Tihi,Le Havre,Europe (North),suez,2,2026-08,1,3381.0,3510.0,3.8,3.9,-0.0,0.0,2772.0,3874.0
ICD Tihi,New York/New Jersey,US East Coast,suez_panama,3,2026-08,1,3307.0,3388.0,2.5,2.4,0.1,0.0,2924.0,3617.0
ICD Tihi,Savannah,US East Coast,suez_panama,3,2026-08,1,3253.0,3328.0,2.3,2.4,-0.1,0.0,2899.0,3540.0
ICD Tihi,Norfolk,US East Coast,suez_panama,3,2026-08,1,3452.0,3536.0,2.4,2.4,0.0,0.0,3058.0,3771.0
ICD Tihi,Charleston,US East Coast,suez_panama,3,2026-08,1,3409.0,3494.0,2.5,2.4,0.1,0.0,3011.0,3731.0
ICD Tihi,Baltimore,US East Coast,suez_panama,3,2026-08,1,3705.0,3792.0,2.3,2.4,-0.0,0.0,3295.0,4037.0
ICD Tihi,Houston,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,3700.0,3786.0,2.3,2.2,0.2,0.0,3297.0,4026.0
ICD Tihi,New Orleans,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,3592.0,3667.0,2.1,2.2,-0.1,0.0,3238.0,3879.0
ICD Tihi,Cartagena,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,2984.0,3047.0,2.1,2.2,-0.0,0.0,2688.0,3224.0
ICD Tihi,Balboa,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,2784.0,2840.0,2.0,2.2,-0.2,0.0,2522.0,2996.0
ICD Tihi,Kingston,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,2740.0,2797.0,2.1,2.2,-0.1,0.0,2470.0,2959.0
ICD Tihi,Lagos,Africa / South America (Cape),cape_route,4,2026-08,1,2772.0,2804.0,1.2,1.1,0.0,0.0,2622.0,2894.0
ICD Tihi,Tema,Africa / South America (Cape),cape_route,4,2026-08,1,2946.0,2981.0,1.2,1.1,0.0,0.0,2781.0,3079.0
ICD Tihi,Durban,Africa / South America (Cape),cape_route,4,2026-08,1,2365.0,2390.0,1.1,1.1,-0.1,0.0,2246.0,2461.0
ICD Tihi,Cape Town,Africa / South America (Cape),cape_route,4,2026-08,1,2383.0,2413.0,1.3,1.1,0.1,0.0,2242.0,2497.0
ICD Tihi,Santos,Africa / South America (Cape),cape_route,4,2026-08,1,2887.0,2925.0,1.3,1.1,0.2,0.0,2708.0,3032.0
ICD Tihi,Buenos Aires,Africa / South America (Cape),cape_route,4,2026-08,1,3359.0,3400.0,1.2,1.1,0.1,0.0,3166.0,3516.0
ICD Tihi,Mombasa,Indian Ocean Rim,indian_ocean,1,2026-08,1,958.0,974.0,1.7,1.4,0.0,0.3,897.0,1013.0
ICD Tihi,Dar es Salaam,Indian Ocean Rim,indian_ocean,1,2026-08,1,1005.0,1022.0,1.7,1.4,0.0,0.3,940.0,1063.0
ICD Tihi,Colombo,Indian Ocean Rim,indian_ocean,1,2026-08,1,741.0,753.0,1.7,1.4,-0.0,0.3,695.0,782.0
ICD Tihi,Port Louis,Indian Ocean Rim,indian_ocean,1,2026-08,1,1177.0,1198.0,1.8,1.4,0.0,0.3,1099.0,1246.0
ICD Tihi,Karachi,Indian Ocean Rim,indian_ocean,1,2026-08,1,795.0,809.0,1.7,1.4,0.0,0.3,744.0,840.0
ICD Tihi,Los Angeles/Long Beach,Pacific (US West / Oceania),pacific,3,2026-08,1,2309.0,2334.0,1.1,1.1,-0.0,0.0,2191.0,2405.0
ICD Tihi,Oakland,Pacific (US West / Oceania),pacific,3,2026-08,1,2395.0,2431.0,1.5,1.1,0.4,0.0,2226.0,2532.0
ICD Tihi,Seattle/Tacoma,Pacific (US West / Oceania),pacific,3,2026-08,1,2217.0,2244.0,1.2,1.1,0.1,0.0,2088.0,2321.0
ICD Tihi,Vancouver,Pacific (US West / Oceania),pacific,3,2026-08,1,2424.0,2456.0,1.3,1.1,0.2,0.0,2272.0,2547.0
ICD Tihi,Melbourne,Pacific (US West / Oceania),pacific,3,2026-08,1,2113.0,2140.0,1.3,1.1,0.2,0.0,1984.0,2217.0
ICD Tihi,Sydney,Pacific (US West / Oceania),pacific,3,2026-08,1,2290.0,2315.0,1.1,1.1,-0.0,0.0,2171.0,2386.0
ICD Tihi,Auckland,Pacific (US West / Oceania),pacific,3,2026-08,1,2211.0,2233.0,1.0,1.1,-0.1,0.0,2108.0,2295.0
ICD Tihi,Singapore,Intra-Asia,intra_asia,1,2026-08,1,665.0,671.0,0.9,0.9,0.1,0.0,635.0,689.0
ICD Tihi,Port Klang,Intra-Asia,intra_asia,1,2026-08,1,632.0,638.0,1.0,0.9,0.1,0.0,602.0,656.0
ICD Tihi,Laem Chabang,Intra-Asia,intra_asia,1,2026-08,1,755.0,761.0,0.8,0.9,-0.1,0.0,727.0,778.0
ICD Tihi,Ho Chi Minh City (Cat Lai),Intra-Asia,intra_asia,1,2026-08,1,787.0,794.0,0.9,0.9,0.0,0.0,755.0,813.0
ICD Tihi,Shanghai,Intra-Asia,intra_asia,1,2026-08,1,908.0,916.0,0.9,0.9,0.1,0.0,868.0,940.0
ICD Tihi,Ningbo,Intra-Asia,intra_asia,1,2026-08,1,997.0,1006.0,0.9,0.9,0.1,0.0,953.0,1032.0
ICD Tihi,Yantian (Shenzhen),Intra-Asia,intra_asia,1,2026-08,1,922.0,929.0,0.7,0.9,-0.2,0.0,891.0,947.0
ICD Tihi,Busan,Intra-Asia,intra_asia,1,2026-08,1,1122.0,1133.0,0.9,0.9,0.1,0.0,1072.0,1162.0
ICD Tihi,Yokohama,Intra-Asia,intra_asia,1,2026-08,1,1135.0,1147.0,1.0,0.9,0.2,0.0,1079.0,1180.0
ICD Dhannad,Jebel Ali,Middle East,hormuz,6,2026-08,1,1203.0,1252.0,4.1,4.1,-0.0,0.0,971.0,1391.0
ICD Dhannad,Dammam,Middle East,hormuz,6,2026-08,1,1281.0,1334.0,4.1,4.1,0.0,0.0,1031.0,1483.0
ICD Dhannad,Bandar Abbas,Middle East,hormuz,6,2026-08,1,1301.0,1354.0,4.1,4.1,-0.1,0.0,1053.0,1502.0
ICD Dhannad,Kuwait City,Middle East,hormuz,6,2026-08,1,1197.0,1246.0,4.1,4.1,-0.0,0.0,967.0,1383.0
ICD Dhannad,Hamad Port (Doha),Middle East,hormuz,6,2026-08,1,1177.0,1225.0,4.1,4.1,-0.0,0.0,949.0,1362.0
ICD Dhannad,Sohar,Middle East,hormuz,6,2026-08,1,1219.0,1270.0,4.2,4.1,0.0,0.0,981.0,1412.0
ICD Dhannad,Jeddah,Red Sea / East Africa,red_sea,0,2026-08,1,1386.0,1442.0,4.1,4.1,-0.0,0.0,1121.0,1600.0
ICD Dhannad,Port Sudan,Red Sea / East Africa,red_sea,0,2026-08,1,1840.0,1914.0,4.0,4.1,-0.1,0.0,1493.0,2121.0
ICD Dhannad,Djibouti,Red Sea / East Africa,red_sea,0,2026-08,1,1684.0,1751.0,4.0,4.1,-0.1,0.0,1366.0,1941.0
ICD Dhannad,Aqaba,Red Sea / East Africa,red_sea,0,2026-08,1,1652.0,1721.0,4.2,4.1,0.1,0.0,1326.0,1916.0
ICD Dhannad,Suez,Red Sea / East Africa,red_sea,0,2026-08,1,1826.0,1900.0,4.1,4.1,-0.0,0.0,1476.0,2109.0
ICD Dhannad,Piraeus,Europe (Mediterranean),suez,2,2026-08,1,2646.0,2748.0,3.8,3.9,-0.0,0.0,2168.0,3033.0
ICD Dhannad,Genoa,Europe (Mediterranean),suez,2,2026-08,1,2787.0,2892.0,3.8,3.9,-0.1,0.0,2291.0,3188.0
ICD Dhannad,Barcelona,Europe (Mediterranean),suez,2,2026-08,1,2813.0,2925.0,4.0,3.9,0.1,0.0,2284.0,3241.0
ICD Dhannad,Marseille,Europe (Mediterranean),suez,2,2026-08,1,2937.0,3046.0,3.7,3.9,-0.2,0.0,2423.0,3353.0
ICD Dhannad,Valencia,Europe (Mediterranean),suez,2,2026-08,1,2836.0,2952.0,4.1,3.9,0.2,0.0,2290.0,3278.0
ICD Dhannad,Gioia Tauro,Europe (Mediterranean),suez,2,2026-08,1,2983.0,3098.0,3.8,3.9,-0.0,0.0,2442.0,3421.0
ICD Dhannad,Ambarli (Istanbul),Europe (Mediterranean),suez,2,2026-08,1,2802.0,2913.0,4.0,3.9,0.1,0.0,2278.0,3226.0
ICD Dhannad,Rotterdam,Europe (North),suez,2,2026-08,1,3455.0,3587.0,3.8,3.9,-0.1,0.0,2835.0,3957.0
ICD Dhannad,Hamburg,Europe (North),suez,2,2026-08,1,3730.0,3875.0,3.9,3.9,0.0,0.0,3047.0,4283.0
ICD Dhannad,Antwerp,Europe (North),suez,2,2026-08,1,3310.0,3437.0,3.8,3.9,-0.0,0.0,2712.0,3794.0
ICD Dhannad,Felixstowe,Europe (North),suez,2,2026-08,1,3407.0,3536.0,3.8,3.9,-0.1,0.0,2799.0,3899.0
ICD Dhannad,Le Havre,Europe (North),suez,2,2026-08,1,3531.0,3666.0,3.8,3.9,-0.1,0.0,2897.0,4044.0
ICD Dhannad,New York/New Jersey,US East Coast,suez_panama,3,2026-08,1,3457.0,3536.0,2.3,2.4,-0.1,0.0,3085.0,3759.0
ICD Dhannad,Savannah,US East Coast,suez_panama,3,2026-08,1,3403.0,3487.0,2.5,2.4,0.1,0.0,3005.0,3725.0
ICD Dhannad,Norfolk,US East Coast,suez_panama,3,2026-08,1,3602.0,3683.0,2.3,2.4,-0.1,0.0,3220.0,3911.0
ICD Dhannad,Charleston,US East Coast,suez_panama,3,2026-08,1,3559.0,3644.0,2.4,2.4,0.0,0.0,3157.0,3884.0
ICD Dhannad,Baltimore,US East Coast,suez_panama,3,2026-08,1,3855.0,3943.0,2.3,2.4,-0.1,0.0,3442.0,4189.0
ICD Dhannad,Houston,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,3850.0,3931.0,2.1,2.2,-0.1,0.0,3470.0,4157.0
ICD Dhannad,New Orleans,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,3742.0,3824.0,2.2,2.2,0.0,0.0,3356.0,4055.0
ICD Dhannad,Cartagena,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,3134.0,3205.0,2.3,2.2,0.1,0.0,2800.0,3404.0
ICD Dhannad,Balboa,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,2934.0,2994.0,2.0,2.2,-0.1,0.0,2651.0,3163.0
ICD Dhannad,Kingston,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,2890.0,2956.0,2.3,2.2,0.1,0.0,2579.0,3142.0
ICD Dhannad,Lagos,Africa / South America (Cape),cape_route,4,2026-08,1,2922.0,2950.0,0.9,1.1,-0.2,0.0,2792.0,3027.0
ICD Dhannad,Tema,Africa / South America (Cape),cape_route,4,2026-08,1,3096.0,3129.0,1.1,1.1,-0.1,0.0,2939.0,3223.0
ICD Dhannad,Durban,Africa / South America (Cape),cape_route,4,2026-08,1,2515.0,2543.0,1.1,1.1,-0.0,0.0,2382.0,2623.0
ICD Dhannad,Cape Town,Africa / South America (Cape),cape_route,4,2026-08,1,2533.0,2560.0,1.1,1.1,-0.1,0.0,2404.0,2637.0
ICD Dhannad,Santos,Africa / South America (Cape),cape_route,4,2026-08,1,3037.0,3073.0,1.2,1.1,0.1,0.0,2866.0,3176.0
ICD Dhannad,Buenos Aires,Africa / South America (Cape),cape_route,4,2026-08,1,3509.0,3547.0,1.1,1.1,-0.0,0.0,3329.0,3655.0
ICD Dhannad,Mombasa,Indian Ocean Rim,indian_ocean,1,2026-08,1,1108.0,1129.0,1.9,1.4,0.2,0.3,1028.0,1179.0
ICD Dhannad,Dar es Salaam,Indian Ocean Rim,indian_ocean,1,2026-08,1,1155.0,1177.0,1.9,1.4,0.2,0.3,1073.0,1228.0
ICD Dhannad,Colombo,Indian Ocean Rim,indian_ocean,1,2026-08,1,891.0,906.0,1.7,1.4,-0.0,0.3,836.0,940.0
ICD Dhannad,Port Louis,Indian Ocean Rim,indian_ocean,1,2026-08,1,1327.0,1348.0,1.6,1.4,-0.1,0.3,1249.0,1398.0
ICD Dhannad,Karachi,Indian Ocean Rim,indian_ocean,1,2026-08,1,945.0,963.0,1.9,1.4,0.2,0.3,876.0,1006.0
ICD Dhannad,Los Angeles/Long Beach,Pacific (US West / Oceania),pacific,3,2026-08,1,2459.0,2489.0,1.2,1.1,0.1,0.0,2317.0,2574.0
ICD Dhannad,Oakland,Pacific (US West / Oceania),pacific,3,2026-08,1,2545.0,2579.0,1.3,1.1,0.2,0.0,2385.0,2674.0
ICD Dhannad,Seattle/Tacoma,Pacific (US West / Oceania),pacific,3,2026-08,1,2367.0,2394.0,1.2,1.1,0.0,0.0,2239.0,2471.0
ICD Dhannad,Vancouver,Pacific (US West / Oceania),pacific,3,2026-08,1,2574.0,2603.0,1.1,1.1,0.0,0.0,2436.0,2686.0
ICD Dhannad,Melbourne,Pacific (US West / Oceania),pacific,3,2026-08,1,2263.0,2294.0,1.4,1.1,0.2,0.0,2117.0,2381.0
ICD Dhannad,Sydney,Pacific (US West / Oceania),pacific,3,2026-08,1,2440.0,2470.0,1.2,1.1,0.1,0.0,2301.0,2553.0
ICD Dhannad,Auckland,Pacific (US West / Oceania),pacific,3,2026-08,1,2361.0,2386.0,1.1,1.1,-0.1,0.0,2241.0,2458.0
ICD Dhannad,Singapore,Intra-Asia,intra_asia,1,2026-08,1,815.0,821.0,0.8,0.9,-0.1,0.0,785.0,839.0
ICD Dhannad,Port Klang,Intra-Asia,intra_asia,1,2026-08,1,782.0,790.0,1.1,0.9,0.2,0.0,743.0,813.0
ICD Dhannad,Laem Chabang,Intra-Asia,intra_asia,1,2026-08,1,905.0,913.0,0.9,0.9,0.0,0.0,867.0,935.0
ICD Dhannad,Ho Chi Minh City (Cat Lai),Intra-Asia,intra_asia,1,2026-08,1,937.0,944.0,0.8,0.9,-0.1,0.0,902.0,965.0
ICD Dhannad,Shanghai,Intra-Asia,intra_asia,1,2026-08,1,1058.0,1066.0,0.8,0.9,-0.1,0.0,1021.0,1088.0
ICD Dhannad,Ningbo,Intra-Asia,intra_asia,1,2026-08,1,1147.0,1160.0,1.1,0.9,0.3,0.0,1086.0,1196.0
ICD Dhannad,Yantian (Shenzhen),Intra-Asia,intra_asia,1,2026-08,1,1072.0,1081.0,0.8,0.9,-0.1,0.0,1031.0,1105.0
ICD Dhannad,Busan,Intra-Asia,intra_asia,1,2026-08,1,1272.0,1284.0,0.9,0.9,0.0,0.0,1218.0,1316.0
ICD Dhannad,Yokohama,Intra-Asia,intra_asia,1,2026-08,1,1285.0,1296.0,0.9,0.9,-0.0,0.0,1233.0,1327.0
Nhava Sheva (JNPT),Jebel Ali,Middle East,hormuz,6,2026-09,2,868.0,923.0,6.3,6.4,-0.0,0.0,738.0,1063.0
