origin,destination,region,cluster,route_exposure,beta_lane,region_beta,lane_premium_beta
Nhava Sheva (JNPT),Antwerp,Europe (North),2,suez,2.48891242937853,2.4506214689265526,0.03829096045197744
Nhava Sheva (JNPT),Felixstowe,Europe (North),2,suez,2.4812542372881343,2.4506214689265526,0.030632768361581686
Nhava Sheva (JNPT),Le Havre,Europe (North),2,suez,2.4506214689265526,2.4506214689265526,0.0
Nhava Sheva (JNPT),New York/New Jersey,US East Coast,3,suez_panama,1.5239802259886996,1.5163220338983043,0.0076581920903953105
Nhava Sheva (JNPT),Savannah,US East Coast,3,suez_panama,1.5086638418079088,1.5163220338983043,-0.0076581920903955325
Nhava Sheva (JNPT),Norfolk,US East Coast,3,suez_panama,1.3861327683615814,1.5163220338983043,-0.13018926553672294
Nhava Sheva (JNPT),Charleston,US East Coast,3,suez_panama,1.6311949152542367,1.5163220338983043,0.11487288135593232
Nhava Sheva (JNPT),Baltimore,US East Coast,3,suez_panama,1.5775875706214684,1.5163220338983043,0.06126553672316404
Nhava Sheva (JNPT),Houston,US Gulf / Caribbean / Latin America,5,panama,1.3631581920903948,1.3631581920903948,0.0
Nhava Sheva (JNPT),New Orleans,US Gulf / Caribbean / Latin America,5,panama,1.3861327683615814,1.3631581920903948,0.022974576271186598
Nhava Sheva (JNPT),Cartagena,US Gulf / Caribbean / Latin America,5,panama,1.3554999999999993,1.3631581920903948,-0.0076581920903955325
Nhava Sheva (JNPT),Balboa,US Gulf / Caribbean / Latin America,5,panama,1.462714689265536,1.3631581920903948,0.09955649717514126
Nhava Sheva (JNPT),Kingston,US Gulf / Caribbean / Latin America,5,panama,1.3631581920903948,1.3631581920903948,0.0
Nhava Sheva (JNPT),Lagos,Africa / South America (Cape),4,cape_route,0.6815790960451974,0.7198700564971748,-0.03829096045197744
Nhava Sheva (JNPT),Tema,Africa / South America (Cape),4,cape_route,0.6586045197740109,0.7198700564971748,-0.06126553672316393
Nhava Sheva (JNPT),Durban,Africa / South America (Cape),4,cape_route,0.7505028248587567,0.7198700564971748,0.030632768361581908
Nhava Sheva (JNPT),Cape Town,Africa / South America (Cape),4,cape_route,0.8117683615819205,0.7198700564971748,0.09189830508474561
Nhava Sheva (JNPT),Santos,Africa / South America (Cape),4,cape_route,0.7887937853107342,0.7198700564971748,0.06892372881355935
Nhava Sheva (JNPT),Buenos Aires,Africa / South America (Cape),4,cape_route,0.5896807909604517,0.7198700564971748,-0.13018926553672316
Nhava Sheva (JNPT),Mombasa,Indian Ocean Rim,1,indian_ocean,0.8424011299435025,0.8960084745762708,-0.05360734463276828
Nhava Sheva (JNPT),Dar es Salaam,Indian Ocean Rim,1,indian_ocean,0.8347429378531069,0.8960084745762708,-0.061265536723163816
Nhava Sheva (JNPT),Colombo,Indian Ocean Rim,1,indian_ocean,0.8117683615819205,0.8960084745762708,-0.0842401129943503
Nhava Sheva (JNPT),Port Louis,Indian Ocean Rim,1,indian_ocean,0.8960084745762708,0.8960084745762708,0.0
Nhava Sheva (JNPT),Karachi,Indian Ocean Rim,1,indian_ocean,0.995564971751412,0.8960084745762708,0.09955649717514126
Nhava Sheva (JNPT),Los Angeles/Long Beach,Pacific (US West / Oceania),3,pacific,0.7122118644067794,0.7198700564971748,-0.0076581920903954215
Nhava Sheva (JNPT),Oakland,Pacific (US West / Oceania),3,pacific,0.6892372881355929,0.7198700564971748,-0.030632768361581908
Nhava Sheva (JNPT),Seattle/Tacoma,Pacific (US West / Oceania),3,pacific,0.673920903954802,0.7198700564971748,-0.04594915254237286
Nhava Sheva (JNPT),Vancouver,Pacific (US West / Oceania),3,pacific,0.7734774011299431,0.7198700564971748,0.05360734463276828
Nhava Sheva (JNPT),Melbourne,Pacific (US West / Oceania),3,pacific,0.6892372881355929,0.7198700564971748,-0.030632768361581908
Nhava Sheva (JNPT),Sydney,Pacific (US West / Oceania),3,pacific,0.6586045197740109,0.7198700564971748,-0.06126553672316393
Nhava Sheva (JNPT),Auckland,Pacific (US West / Oceania),3,pacific,0.6126553672316382,0.7198700564971748,-0.10721468926553668
Nhava Sheva (JNPT),Singapore,Intra-Asia,1,intra_asia,0.6049971751412426,0.5513898305084743,0.05360734463276828
Nhava Sheva (JNPT),Port Klang,Intra-Asia,1,intra_asia,0.528415254237288,0.5513898305084743,-0.022974576271186375
Nhava Sheva (JNPT),Laem Chabang,Intra-Asia,1,intra_asia,0.3599350282485874,0.5513898305084743,-0.19145480225988692
Nhava Sheva (JNPT),Ho Chi Minh City (Cat Lai),Intra-Asia,1,intra_asia,0.6126553672316382,0.5513898305084743,0.061265536723163816
Nhava Sheva (JNPT),Shanghai,Intra-Asia,1,intra_asia,0.5743644067796607,0.5513898305084743,0.022974576271186375
Nhava Sheva (JNPT),Ningbo,Intra-Asia,1,intra_asia,0.3752514124293784,0.5513898305084743,-0.17613841807909597
Nhava Sheva (JNPT),Yantian (Shenzhen),Intra-Asia,1,intra_asia,0.528415254237288,0.5513898305084743,-0.022974576271186375
Nhava Sheva (JNPT),Busan,Intra-Asia,1,intra_asia,0.45183333333333314,0.5513898305084743,-0.0995564971751412
Nhava Sheva (JNPT),Yokohama,Intra-Asia,1,intra_asia,0.5130988700564969,0.5513898305084743,-0.03829096045197744
ICD Tihi,Jebel Ali,Middle East,6,hormuz,2.6114435028248577,2.6076144067796596,0.0038290960451980993
ICD Tihi,Dammam,Middle East,6,hormuz,2.5961271186440666,2.6076144067796596,-0.011487288135592966
ICD Tihi,Bandar Abbas,Middle East,6,hormuz,2.619101694915253,2.6076144067796596,0.01148728813559341
ICD Tihi,Kuwait City,Middle East,6,hormuz,2.6114435028248577,2.6076144067796596,0.0038290960451980993
ICD Tihi,Hamad Port (Doha),Middle East,6,hormuz,2.6344180790960436,2.6076144067796596,0.02680367231638403
ICD Tihi,Sohar,Middle East,6,hormuz,2.6650508474576258,2.6076144067796596,0.05743644067796616
ICD Tihi,Jeddah,Red Sea / East Africa,0,red_sea,2.5961271186440666,2.588468926553671,0.0076581920903957545
ICD Tihi,Port Sudan,Red Sea / East Africa,0,red_sea,2.5425197740112986,2.588468926553671,-0.04594915254237231
ICD Tihi,Djibouti,Red Sea / East Africa,0,red_sea,2.6114435028248577,2.588468926553671,0.02297457627118682
ICD Tihi,Aqaba,Red Sea / East Africa,0,red_sea,2.603785310734462,2.588468926553671,0.015316384180791065
ICD Tihi,Suez,Red Sea / East Africa,0,red_sea,2.588468926553671,2.588468926553671,0.0
ICD Tihi,Piraeus,Europe (Mediterranean),2,suez,2.4353050847457616,2.4506214689265526,-0.015316384180791065
ICD Tihi,Genoa,Europe (Mediterranean),2,suez,2.3740395480225978,2.4506214689265526,-0.07658192090395488
ICD Tihi,Barcelona,Europe (Mediterranean),2,suez,2.48891242937853,2.4506214689265526,0.03829096045197744
ICD Tihi,Marseille,Europe (Mediterranean),2,suez,2.4965706214689254,2.4506214689265526,0.04594915254237275
ICD Tihi,Valencia,Europe (Mediterranean),2,suez,2.4506214689265526,2.4506214689265526,0.0
ICD Tihi,Gioia Tauro,Europe (Mediterranean),2,suez,2.427646892655366,2.4506214689265526,-0.02297457627118682
ICD Tihi,Ambarli (Istanbul),Europe (Mediterranean),2,suez,2.511887005649716,2.4506214689265526,0.06126553672316337
ICD Tihi,Rotterdam,Europe (North),2,suez,2.4199887005649705,2.4506214689265526,-0.03063276836158213
ICD Tihi,Hamburg,Europe (North),2,suez,2.4735960451977386,2.4506214689265526,0.02297457627118593
ICD Tihi,Antwerp,Europe (North),2,suez,2.588468926553671,2.4506214689265526,0.13784745762711825
ICD Tihi,Felixstowe,Europe (North),2,suez,2.4659378531073437,2.4506214689265526,0.015316384180791065
ICD Tihi,Le Havre,Europe (North),2,suez,2.4199887005649705,2.4506214689265526,-0.03063276836158213
ICD Tihi,New York/New Jersey,US East Coast,3,suez_panama,1.5546129943502818,1.5163220338983043,0.03829096045197744
ICD Tihi,Savannah,US East Coast,3,suez_panama,1.462714689265536,1.5163220338983043,-0.05360734463276828
ICD Tihi,Norfolk,US East Coast,3,suez_panama,1.5316384180790954,1.5163220338983043,0.015316384180791065
ICD Tihi,Charleston,US East Coast,3,suez_panama,1.5699293785310726,1.5163220338983043,0.05360734463276828
ICD Tihi,Baltimore,US East Coast,3,suez_panama,1.4856892655367224,1.5163220338983043,-0.030632768361581908
ICD Tihi,Houston,US Gulf / Caribbean / Latin America,5,panama,1.462714689265536,1.3631581920903948,0.09955649717514126
ICD Tihi,New Orleans,US Gulf / Caribbean / Latin America,5,panama,1.3248672316384176,1.3631581920903948,-0.03829096045197722
ICD Tihi,Cartagena,US Gulf / Caribbean / Latin America,5,panama,1.3325254237288129,1.3631581920903948,-0.030632768361581908
ICD Tihi,Balboa,US Gulf / Caribbean / Latin America,5,panama,1.2636016949152535,1.3631581920903948,-0.09955649717514126
ICD Tihi,Kingston,US Gulf / Caribbean / Latin America,5,panama,1.3248672316384176,1.3631581920903948,-0.03829096045197722
ICD Tihi,Lagos,Africa / South America (Cape),4,cape_route,0.7275282485875703,0.7198700564971748,0.0076581920903954215
ICD Tihi,Tema,Africa / South America (Cape),4,cape_route,0.7505028248587567,0.7198700564971748,0.030632768361581908
ICD Tihi,Durban,Africa / South America (Cape),4,cape_route,0.673920903954802,0.7198700564971748,-0.04594915254237286
ICD Tihi,Cape Town,Africa / South America (Cape),4,cape_route,0.7964519774011296,0.7198700564971748,0.07658192090395477
ICD Tihi,Santos,Africa / South America (Cape),4,cape_route,0.8347429378531069,0.7198700564971748,0.1148728813559321
ICD Tihi,Buenos Aires,Africa / South America (Cape),4,cape_route,0.7734774011299431,0.7198700564971748,0.05360734463276828
ICD Tihi,Mombasa,Indian Ocean Rim,1,indian_ocean,0.8960084745762708,0.8960084745762708,0.0
ICD Tihi,Dar es Salaam,Indian Ocean Rim,1,indian_ocean,0.9036666666666663,0.8960084745762708,0.0076581920903955325
ICD Tihi,Colombo,Indian Ocean Rim,1,indian_ocean,0.865375706214689,0.8960084745762708,-0.030632768361581797
ICD Tihi,Port Louis,Indian Ocean Rim,1,indian_ocean,0.9266412429378527,0.8960084745762708,0.030632768361581908
ICD Tihi,Karachi,Indian Ocean Rim,1,indian_ocean,0.8960084745762708,0.8960084745762708,0.0
ICD Tihi,Los Angeles/Long Beach,Pacific (US West / Oceania),3,pacific,0.6892372881355929,0.7198700564971748,-0.030632768361581908
ICD Tihi,Oakland,Pacific (US West / Oceania),3,pacific,0.9496158192090391,0.7198700564971748,0.2297457627118643
ICD Tihi,Seattle/Tacoma,Pacific (US West / Oceania),3,pacific,0.7811355932203385,0.7198700564971748,0.061265536723163705
ICD Tihi,Vancouver,Pacific (US West / Oceania),3,pacific,0.8424011299435025,0.7198700564971748,0.12253107344632763
ICD Tihi,Melbourne,Pacific (US West / Oceania),3,pacific,0.819426553672316,0.7198700564971748,0.09955649717514115
ICD Tihi,Sydney,Pacific (US West / Oceania),3,pacific,0.6968954802259884,0.7198700564971748,-0.022974576271186486
ICD Tihi,Auckland,Pacific (US West / Oceania),3,pacific,0.627971751412429,0.7198700564971748,-0.09189830508474583
ICD Tihi,Singapore,Intra-Asia,1,intra_asia,0.5973389830508472,0.5513898305084743,0.04594915254237286
ICD Tihi,Port Klang,Intra-Asia,1,intra_asia,0.6432881355932201,0.5513898305084743,0.09189830508474572
ICD Tihi,Laem Chabang,Intra-Asia,1,intra_asia,0.5054406779661015,0.5513898305084743,-0.04594915254237286
ICD Tihi,Ho Chi Minh City (Cat Lai),Intra-Asia,1,intra_asia,0.5513898305084743,0.5513898305084743,0.0
ICD Tihi,Shanghai,Intra-Asia,1,intra_asia,0.5896807909604517,0.5513898305084743,0.03829096045197733
ICD Tihi,Ningbo,Intra-Asia,1,intra_asia,0.5896807909604517,0.5513898305084743,0.03829096045197733
ICD Tihi,Yantian (Shenzhen),Intra-Asia,1,intra_asia,0.45183333333333314,0.5513898305084743,-0.0995564971751412
ICD Tihi,Busan,Intra-Asia,1,intra_asia,0.5973389830508472,0.5513898305084743,0.04594915254237286
ICD Tihi,Yokohama,Intra-Asia,1,intra_asia,0.6586045197740109,0.5513898305084743,0.10721468926553657
ICD Dhannad,Jebel Ali,Middle East,6,hormuz,2.5961271186440666,2.6076144067796596,-0.011487288135592966
ICD Dhannad,Dammam,Middle East,6,hormuz,2.619101694915253,2.6076144067796596,0.01148728813559341
ICD Dhannad,Bandar Abbas,Middle East,6,hormuz,2.5654943502824845,2.6076144067796596,-0.042120056497175096
ICD Dhannad,Kuwait City,Middle East,6,hormuz,2.580810734463276,2.6076144067796596,-0.026803672316383587
ICD Dhannad,Hamad Port (Doha),Middle East,6,hormuz,2.603785310734462,2.6076144067796596,-0.0038290960451976552
ICD Dhannad,Sohar,Middle East,6,hormuz,2.6267598870056483,2.6076144067796596,0.01914548022598872
ICD Dhannad,Jeddah,Red Sea / East Africa,0,red_sea,2.5654943502824845,2.588468926553671,-0.022974576271186375
ICD Dhannad,Port Sudan,Red Sea / East Africa,0,red_sea,2.534861581920903,2.588468926553671,-0.05360734463276806
ICD Dhannad,Djibouti,Red Sea / East Africa,0,red_sea,2.534861581920903,2.588468926553671,-0.05360734463276806
ICD Dhannad,Aqaba,Red Sea / East Africa,0,red_sea,2.649734463276835,2.588468926553671,0.06126553672316426
ICD Dhannad,Suez,Red Sea / East Africa,0,red_sea,2.5731525423728803,2.588468926553671,-0.015316384180790621
ICD Dhannad,Piraeus,Europe (Mediterranean),2,suez,2.427646892655366,2.4506214689265526,-0.02297457627118682
ICD Dhannad,Genoa,Europe (Mediterranean),2,suez,2.389355932203389,2.4506214689265526,-0.061265536723163816
ICD Dhannad,Barcelona,Europe (Mediterranean),2,suez,2.527203389830507,2.4506214689265526,0.07658192090395444
ICD Dhannad,Marseille,Europe (Mediterranean),2,suez,2.3510649717514114,2.4506214689265526,-0.09955649717514126
ICD Dhannad,Valencia,Europe (Mediterranean),2,suez,2.588468926553671,2.4506214689265526,0.13784745762711825
ICD Dhannad,Gioia Tauro,Europe (Mediterranean),2,suez,2.4353050847457616,2.4506214689265526,-0.015316384180791065
ICD Dhannad,Ambarli (Istanbul),Europe (Mediterranean),2,suez,2.511887005649716,2.4506214689265526,0.06126553672316337
ICD Dhannad,Rotterdam,Europe (North),2,suez,2.412330508474575,2.4506214689265526,-0.03829096045197744
ICD Dhannad,Hamburg,Europe (North),2,suez,2.458279661016948,2.4506214689265526,0.0076581920903953105
ICD Dhannad,Antwerp,Europe (North),2,suez,2.427646892655366,2.4506214689265526,-0.02297457627118682
ICD Dhannad,Felixstowe,Europe (North),2,suez,2.397014124293784,2.4506214689265526,-0.053607344632768505
ICD Dhannad,Le Havre,Europe (North),2,suez,2.412330508474575,2.4506214689265526,-0.03829096045197744
ICD Dhannad,New York/New Jersey,US East Coast,3,suez_panama,1.447398305084745,1.5163220338983043,-0.06892372881355935
ICD Dhannad,Savannah,US East Coast,3,suez_panama,1.5699293785310726,1.5163220338983043,0.05360734463276828
ICD Dhannad,Norfolk,US East Coast,3,suez_panama,1.4244237288135588,1.5163220338983043,-0.0918983050847455
ICD Dhannad,Charleston,US East Coast,3,suez_panama,1.5163220338983043,1.5163220338983043,0.0
ICD Dhannad,Baltimore,US East Coast,3,suez_panama,1.4397401129943497,1.5163220338983043,-0.07658192090395466
ICD Dhannad,Houston,US Gulf / Caribbean / Latin America,5,panama,1.3248672316384176,1.3631581920903948,-0.03829096045197722
ICD Dhannad,New Orleans,US Gulf / Caribbean / Latin America,5,panama,1.3861327683615814,1.3631581920903948,0.022974576271186598
ICD Dhannad,Cartagena,US Gulf / Caribbean / Latin America,5,panama,1.4320819209039541,1.3631581920903948,0.06892372881355935
ICD Dhannad,Balboa,US Gulf / Caribbean / Latin America,5,panama,1.2942344632768354,1.3631581920903948,-0.06892372881355935
ICD Dhannad,Kingston,US Gulf / Caribbean / Latin America,5,panama,1.447398305084745,1.3631581920903948,0.08424011299435019
ICD Dhannad,Lagos,Africa / South America (Cape),4,cape_route,0.5973389830508472,0.7198700564971748,-0.12253107344632763
ICD Dhannad,Tema,Africa / South America (Cape),4,cape_route,0.6815790960451974,0.7198700564971748,-0.03829096045197744
ICD Dhannad,Durban,Africa / South America (Cape),4,cape_route,0.7122118644067794,0.7198700564971748,-0.0076581920903954215
ICD Dhannad,Cape Town,Africa / South America (Cape),4,cape_route,0.6815790960451974,0.7198700564971748,-0.03829096045197744
ICD Dhannad,Santos,Africa / South America (Cape),4,cape_route,0.7581610169491522,0.7198700564971748,0.03829096045197733
ICD Dhannad,Buenos Aires,Africa / South America (Cape),4,cape_route,0.6892372881355929,0.7198700564971748,-0.030632768361581908
ICD Dhannad,Mombasa,Indian Ocean Rim,1,indian_ocean,1.010881355932203,0.8960084745762708,0.11487288135593221
ICD Dhannad,Dar es Salaam,Indian Ocean Rim,1,indian_ocean,0.995564971751412,0.8960084745762708,0.09955649717514126
ICD Dhannad,Colombo,Indian Ocean Rim,1,indian_ocean,0.865375706214689,0.8960084745762708,-0.030632768361581797
ICD Dhannad,Port Louis,Indian Ocean Rim,1,indian_ocean,0.8347429378531069,0.8960084745762708,-0.061265536723163816
ICD Dhannad,Karachi,Indian Ocean Rim,1,indian_ocean,1.0185395480225985,0.8960084745762708,0.12253107344632774
ICD Dhannad,Los Angeles/Long Beach,Pacific (US West / Oceania),3,pacific,0.7734774011299431,0.7198700564971748,0.05360734463276828
ICD Dhannad,Oakland,Pacific (US West / Oceania),3,pacific,0.8424011299435025,0.7198700564971748,0.12253107344632763
ICD Dhannad,Seattle/Tacoma,Pacific (US West / Oceania),3,pacific,0.7275282485875703,0.7198700564971748,0.0076581920903954215
ICD Dhannad,Vancouver,Pacific (US West / Oceania),3,pacific,0.7198700564971748,0.7198700564971748,0.0
ICD Dhannad,Melbourne,Pacific (US West / Oceania),3,pacific,0.865375706214689,0.7198700564971748,0.14550564971751412
ICD Dhannad,Sydney,Pacific (US West / Oceania),3,pacific,0.7658192090395477,0.7198700564971748,0.04594915254237286
ICD Dhannad,Auckland,Pacific (US West / Oceania),3,pacific,0.6815790960451974,0.7198700564971748,-0.03829096045197744
ICD Dhannad,Singapore,Intra-Asia,1,intra_asia,0.4901242937853105,0.5513898305084743,-0.061265536723163816
ICD Dhannad,Port Klang,Intra-Asia,1,intra_asia,0.6662627118644064,0.5513898305084743,0.1148728813559321
ICD Dhannad,Laem Chabang,Intra-Asia,1,intra_asia,0.5590480225988698,0.5513898305084743,0.0076581920903954215
ICD Dhannad,Ho Chi Minh City (Cat Lai),Intra-Asia,1,intra_asia,0.497782485875706,0.5513898305084743,-0.05360734463276834
ICD Dhannad,Shanghai,Intra-Asia,1,intra_asia,0.4748079096045196,0.5513898305084743,-0.07658192090395477
ICD Dhannad,Ningbo,Intra-Asia,1,intra_asia,0.7122118644067794,0.5513898305084743,0.16082203389830507
ICD Dhannad,Yantian (Shenzhen),Intra-Asia,1,intra_asia,0.5130988700564969,0.5513898305084743,-0.03829096045197744
ICD Dhannad,Busan,Intra-Asia,1,intra_asia,0.5743644067796607,0.5513898305084743,0.022974576271186375
ICD Dhannad,Yokohama,Intra-Asia,1,intra_asia,0.5437316384180788,0.5513898305084743,-0.0076581920903955325
